ID,Player,Position,Age,Nationality,Club,MarketValue,ProfileURL
1,Vinicius Junior,Left Winger,24,"Brazil, Spain",Real Madrid,€200.00m,https://www.transfermarkt.com/vinicius-junior/profil/spieler/371998
2,Lamine Yamal,Right Winger,17,"Spain, Equatorial Guinea",FC Barcelona,€180.00m,https://www.transfermarkt.com/lamine-yamal/profil/spieler/937958
3,Jude Bellingham,Attacking Midfield,21,"England, Ireland",Real Madrid,€180.00m,https://www.transfermarkt.com/jude-bellingham/profil/spieler/581678
4,Erling Haaland,Centre-Forward,24,Norway,Manchester City,€180.00m,https://www.transfermarkt.com/erling-haaland/profil/spieler/418560
5,Kylian Mbappé,Centre-Forward,26,"France, Cameroon",Real Madrid,€170.00m,https://www.transfermarkt.com/kylian-mbappe/profil/spieler/342229
6,Bukayo Saka,Right Winger,23,"England, Nigeria",Arsenal FC,€150.00m,https://www.transfermarkt.com/bukayo-saka/profil/spieler/433177
7,Florian Wirtz,Attacking Midfield,22,Germany,Bayer 04 Leverkusen,€140.00m,https://www.transfermarkt.com/florian-wirtz/profil/spieler/598577
8,Jamal Musiala,Attacking Midfield,22,"Germany, England",Bayern Munich,€140.00m,https://www.transfermarkt.com/jamal-musiala/profil/spieler/580195
9,Federico Valverde,Central Midfield,26,"Uruguay, Spain",Real Madrid,€130.00m,https://www.transfermarkt.com/federico-valverde/profil/spieler/369081
10,Pedri,Central Midfield,22,Spain,FC Barcelona,€120.00m,https://www.transfermarkt.com/pedri/profil/spieler/683840
11,Cole Palmer,Attacking Midfield,23,England,Chelsea FC,€120.00m,https://www.transfermarkt.com/cole-palmer/profil/spieler/568177
12,Declan Rice,Central Midfield,26,"England, Ireland",Arsenal FC,€120.00m,https://www.transfermarkt.com/declan-rice/profil/spieler/357662
13,Alexander Isak,Centre-Forward,25,"Sweden, Eritrea",Newcastle United,€120.00m,https://www.transfermarkt.com/alexander-isak/profil/spieler/349066
14,Rodri,Defensive Midfield,28,Spain,Manchester City,€110.00m,https://www.transfermarkt.com/rodri/profil/spieler/357565
15,Michael Olise,Right Winger,23,"France, England",Bayern Munich,€100.00m,https://www.transfermarkt.com/michael-olise/profil/spieler/566723
16,Alexis Mac Allister,Central Midfield,26,"Argentina, Italy",Liverpool FC,€100.00m,https://www.transfermarkt.com/alexis-mac-allister/profil/spieler/534033
17,Rodrygo,Right Winger,24,"Brazil, Spain",Real Madrid,€100.00m,https://www.transfermarkt.com/rodrygo/profil/spieler/412363
18,Phil Foden,Right Winger,25,England,Manchester City,€100.00m,https://www.transfermarkt.com/phil-foden/profil/spieler/406635
19,Lautaro Martínez,Centre-Forward,27,Argentina,Inter Milan,€95.00m,https://www.transfermarkt.com/lautaro-martinez/profil/spieler/406625
20,Désiré Doué,Right Winger,20,"France, Cote d'Ivoire",Paris Saint-Germain,€90.00m,https://www.transfermarkt.com/desire-doue/profil/spieler/914562
21,Moisés Caicedo,Defensive Midfield,23,Ecuador,Chelsea FC,€90.00m,https://www.transfermarkt.com/moises-caicedo/profil/spieler/687626
22,Julián Alvarez,Centre-Forward,25,"Argentina, Italy",Atlético de Madrid,€90.00m,https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024
23,Khvicha Kvaratskhelia,Left Winger,24,Georgia,Paris Saint-Germain,€90.00m,https://www.transfermarkt.com/khvicha-kvaratskhelia/profil/spieler/502670
24,Ousmane Dembélé,Right Winger,28,France,Paris Saint-Germain,€90.00m,https://www.transfermarkt.com/ousmane-dembele/profil/spieler/288230
25,Martin Ødegaard,Attacking Midfield,26,Norway,Arsenal FC,€85.00m,https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264
26,João Neves,Defensive Midfield,20,Portugal,Paris Saint-Germain,€80.00m,https://www.transfermarkt.com/joao-neves/profil/spieler/670681
27,Bruno Guimarães,Defensive Midfield,27,"Brazil, Spain",Newcastle United,€80.00m,https://www.transfermarkt.com/bruno-guimaraes/profil/spieler/520624
28,William Saliba,Centre-Back,24,"France, Cameroon",Arsenal FC,€80.00m,https://www.transfermarkt.com/william-saliba/profil/spieler/495666
29,Vitinha,Central Midfield,25,Portugal,Paris Saint-Germain,€80.00m,https://www.transfermarkt.com/vitinha/profil/spieler/487469
30,Dominik Szoboszlai,Attacking Midfield,24,Hungary,Liverpool FC,€80.00m,https://www.transfermarkt.com/dominik-szoboszlai/profil/spieler/451276
31,Aurélien Tchouaméni,Defensive Midfield,25,"France, Cameroon",Real Madrid,€80.00m,https://www.transfermarkt.com/aurelien-tchouameni/profil/spieler/413112
32,Raphinha,Left Winger,28,"Brazil, Italy",FC Barcelona,€80.00m,https://www.transfermarkt.com/raphinha/profil/spieler/411295
33,Achraf Hakimi,Right-Back,26,"Morocco, Spain",Paris Saint-Germain,€80.00m,https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073
34,Alessandro Bastoni,Centre-Back,26,Italy,Inter Milan,€80.00m,https://www.transfermarkt.com/alessandro-bastoni/profil/spieler/315853
35,Nicolò Barella,Central Midfield,28,Italy,Inter Milan,€80.00m,https://www.transfermarkt.com/nicolo-barella/profil/spieler/255942
36,Hugo Ekitiké,Centre-Forward,22,"France, Cameroon",Eintracht Frankfurt,€75.00m,https://www.transfermarkt.com/hugo-ekitike/profil/spieler/709726
37,Enzo Fernández,Central Midfield,24,Argentina,Chelsea FC,€75.00m,https://www.transfermarkt.com/enzo-fernandez/profil/spieler/648195
38,Ryan Gravenberch,Defensive Midfield,23,"Netherlands, Suriname",Liverpool FC,€75.00m,https://www.transfermarkt.com/ryan-gravenberch/profil/spieler/478573
39,Josko Gvardiol,Left-Back,23,Croatia,Manchester City,€75.00m,https://www.transfermarkt.com/josko-gvardiol/profil/spieler/475959
